0.5364,-0.6055
1.0440,0.4336
0.6646,-0.7502
1.6022,0.7294
-0.6463,-0.3144
1.6813,-0.0480
3.4658,0.3572
-0.3678,-1.4774
1.5382,0.2534
1.7227,-0.5464
1.9850,-0.2172
0.4627,-0.5254
3.3040,-0.9098
2.0612,0.0202
2.9284,-0.4195
3.5647,-1.2869
3.0219,-1.0550
0.8157,-1.7896
4.1266,0.0071
0.5339,-2.0298
-0.6916,-2.1691
3.3052,-0.5398
3.7177,-1.0457
3.0084,-0.1546
2.4651,-0.3471
-0.3300,-0.7327
2.2648,2.0266
0.7884,-0.1022
2.1944,0.7928
0.3084,1.0034
2.8847,-0.7308
-0.2177,-0.5038
-0.5453,-1.0015
0.1466,-1.3081
2.1405,0.5251
-1.1063,-1.2778
1.7957,-0.2323
1.2054,-0.4645
-0.8116,-1.6056
-1.2637,-1.9072
-0.1458,-0.2690
0.0521,-1.0656
1.8661,1.4395
1.0862,-0.2489
0.6089,-0.4225
3.0669,1.2002
3.4450,-0.0144
-0.3663,0.4899
-0.6196,-1.7053
0.0949,0.6133
1.9963,0.2393
1.0631,0.8447
-0.2911,-1.5636
1.5544,-0.9780
0.4818,0.7495
0.2334,-1.8951
-0.0764,-2.5490
0.0928,-1.0469
0.6352,-0.4437
3.7316,-0.7979
1.1341,-0.3311
4.2796,-0.4712
1.8050,-0.7460
1.9930,0.6257
1.4409,0.8666
1.6003,0.3311
-1.0116,-0.9552
-0.9765,-0.7593
1.2194,-0.8118
1.8265,1.0818
1.6406,0.3203
0.3619,0.2822
1.7522,-0.2060
1.3861,-1.1405
2.7766,-0.2722
2.1086,-0.4188
1.2134,-0.3640
-0.0797,1.3765
2.1316,0.5185
-0.9544,-1.8277
0.2657,-1.9005
-1.1966,-2.3501
1.0160,-1.0653
3.5862,0.1629
4.6887,-0.0106
0.3536,1.0037
0.5118,-1.1468
0.2368,-1.6675
-1.1131,-1.9126
-0.0962,0.8963
-0.1009,-1.5310
2.6252,-0.2185
-0.8228,-0.8788
-0.7261,-1.9154
0.2724,-1.5745
1.2832,-1.1503
1.2111,-0.1487
0.2464,1.1344
1.1859,-1.3945
-0.4559,-1.6369
